SUBJECT,CATALOG_NBR,DESCR,COMPLETED HEADCOUNT,TOTAL HEADCOUNT,A_COUNT,B_COUNT,C_COUNT,D_COUNT,S_COUNT,P_COUNT,N_COUNT,F_COUNT,W_COUNT,GPA,PASS_RATE,W_PERCENT,A_PERCENT,B_PERCENT,C_PERCENT,D_PERCENT,F_PERCENT
DES,8102,Quantitative Research Methods,10,10,7,3,0,0,0,0,0,0,0,3.7,1.0,0.0,0.7,0.3,0.0,0.0,0.0
DES,8113,Teaching and Assessment,13,13,11,2,0,0,0,0,0,0,0,3.8461538461538463,1.0,0.0,0.8461538461538461,0.15384615384615385,0.0,0.0,0.0
DH,3234,Oral Radiology: Theory,26,26,3,15,8,0,0,0,0,0,0,2.8076923076923075,1.0,0.0,0.11538461538461539,0.5769230769230769,0.3076923076923077,0.0,0.0
DNCE,1001,Modern/Contemporary Dance 1,19,21,11,5,0,0,3,0,0,0,2,3.6875,0.9047619047619048,0.09523809523809523,0.6875,0.3125,0.0,0.0,0.0
DNCE,1010,Modern/Contemporary Dance 3,32,40,28,0,4,0,0,0,0,0,8,3.75,0.8,0.2,0.875,0.0,0.125,0.0,0.0
DNCE,1101,Ballet 1,17,18,15,1,0,0,1,0,0,0,1,3.9375,0.9444444444444444,0.05555555555555555,0.9375,0.0625,0.0,0.0,0.0
DNCE,1110,Ballet 3,10,12,8,2,0,0,0,0,0,0,2,3.8,0.8333333333333334,0.16666666666666666,0.8,0.2,0.0,0.0,0.0
DNCE,1201,Jazz 1,13,14,11,0,0,0,2,0,0,0,1,4.0,0.9285714285714286,0.07142857142857142,1.0,0.0,0.0,0.0,0.0
DNCE,1210,Jazz 3,13,13,10,2,0,0,1,0,0,0,0,3.8333333333333335,1.0,0.0,0.8333333333333334,0.16666666666666666,0.0,0.0,0.0
DNCE,1301,Tap 1,18,19,15,0,1,0,2,0,0,0,1,3.875,0.9473684210526315,0.05263157894736842,0.9375,0.0,0.0625,0.0,0.0
DNCE,1327,Argentine Tango,38,38,26,0,0,0,10,0,0,2,0,3.7142857142857144,0.9473684210526315,0.0,0.9285714285714286,0.0,0.0,0.0,0.07142857142857142
DNCE,1331,Yoga,53,57,47,3,0,0,3,0,0,0,4,3.94,0.9298245614035088,0.07017543859649122,0.94,0.06,0.0,0.0,0.0
DNCE,1332,Yoga for Dancers,12,13,7,5,0,0,0,0,0,0,1,3.5833333333333335,0.9230769230769231,0.07692307692307693,0.5833333333333334,0.4166666666666667,0.0,0.0,0.0
DNCE,1343, Urban & Street Dance Forms 1,18,18,17,0,0,0,1,0,0,0,0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
DNCE,1401,Intro to Dance,64,68,50,8,2,0,4,0,0,0,4,3.8,0.9411764705882353,0.058823529411764705,0.8333333333333334,0.13333333333333333,0.03333333333333333,0.0,0.0
DNCE,1601,Dance Improvisation,46,46,40,6,0,0,0,0,0,0,0,3.869565217391304,1.0,0.0,0.8695652173913043,0.13043478260869565,0.0,0.0,0.0
DNCE,1626,Music for Dance,17,18,15,1,0,0,0,0,0,1,1,3.7058823529411766,0.8888888888888888,0.05555555555555555,0.8823529411764706,0.058823529411764705,0.0,0.0,0.058823529411764705
DNCE,3010,Modern/Contemporary Dance 5,42,42,40,2,0,0,0,0,0,0,0,3.9523809523809526,1.0,0.0,0.9523809523809523,0.047619047619047616,0.0,0.0,0.0
DNCE,3110,Ballet 5,19,19,17,0,1,1,0,0,0,0,0,3.736842105263158,0.9473684210526315,0.0,0.8947368421052632,0.0,0.05263157894736842,0.05263157894736842,0.0
DNCE,3210,Jazz 5,17,17,16,1,0,0,0,0,0,0,0,3.9411764705882355,1.0,0.0,0.9411764705882353,0.058823529411764705,0.0,0.0,0.0
DNCE,3334,Dance/Movement Therapy,14,14,10,2,1,1,0,0,0,0,0,3.5,0.9285714285714286,0.0,0.7142857142857143,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.0
DNCE,3401W,Dance History 1,25,26,19,4,1,0,1,0,0,0,1,3.75,0.9615384615384616,0.038461538461538464,0.7916666666666666,0.16666666666666666,0.041666666666666664,0.0,0.0
DNCE,3621,Dance Production I,14,14,11,1,2,0,0,0,0,0,0,3.642857142857143,1.0,0.0,0.7857142857142857,0.07142857142857142,0.14285714285714285,0.0,0.0
