,SUBJECT,CATALOG_NBR,DESCR,COMPLETED HEADCOUNT,TOTAL HEADCOUNT,A_COUNT,B_COUNT,C_COUNT,D_COUNT,S_COUNT,P_COUNT,N_COUNT,F_COUNT,W_COUNT
188,ARCH,3281,Arch Studio I,220,224,40,156,24,0,0,0,0,0,4
189,ARCH,3391,Design & Rep with BIM,40,42,32,3,4,1,0,0,0,0,2
190,ARCH,3411W,Architectural History to 1750,112,122,41,59,9,0,0,0,0,3,10
191,ARCH,3511,Material Transformations,71,72,21,36,11,1,0,0,0,2,1
192,ARCH,3611,Design in the Digital Age,79,88,51,24,3,0,0,0,0,1,9
193,ARCH,3711W,Env Design Soc-Cltrl Cntxt,138,138,72,47,14,4,0,0,0,1,0
194,ARCH,4283,Arch Studio III,117,117,33,78,6,0,0,0,0,0,0
195,ARCH,4321,Arch in Watercolor,11,12,8,3,0,0,0,0,0,0,1
196,ARCH,4341,Architecture Portfolio Design,25,25,6,16,3,0,0,0,0,0,0
197,ARCH,4410,Topics in Arch History,21,22,8,11,2,0,0,0,0,0,1
198,ARCH,4511,Materials and Methods I,70,73,40,22,6,2,0,0,0,0,3
199,ARCH,4521,Environmental Technology I,40,40,25,14,1,0,0,0,0,0,0
200,ARCH,4571,Architectural Structures I,90,94,34,46,10,0,0,0,0,0,4
201,ARCH,5212,Undergrad Arch Studio 05,58,60,32,26,0,0,0,0,0,0,2
202,ARCH,5321,Arch in Watercolor,10,10,8,2,0,0,0,0,0,0,0
203,ARCH,5392,Digital Documentation: Facades,17,17,12,5,0,0,0,0,0,0,0
204,ARCH,5412,Arch: Global and Cultural Hist,22,22,14,7,0,0,0,0,0,1,0
205,ARCH,5562,"Tech 2, Intro to Bldg Tech",14,14,5,8,1,0,0,0,0,0,0
206,ARCH,5563,Tech 3: Advanced Bldg Tech,43,43,25,18,0,0,0,0,0,0,0
207,ARCH,5564,Tech 4 Bldg Structural Systems,46,46,24,18,4,0,0,0,0,0,0
208,ARCH,5609,Development of Research,14,14,4,10,0,0,0,0,0,0,0
209,ARCH,5621,Pro Pract Arch,92,92,40,50,2,0,0,0,0,0,0
210,ARCH,8251,Grad Arch Dsgn I,28,28,12,12,4,0,0,0,0,0,0
211,ARCH,8253,Grad Arch Dsgn III,176,176,84,92,0,0,0,0,0,0,0
212,ARCH,8255,Grad Arch Dsgn V,47,47,22,25,0,0,0,0,0,0,0
213,ARCH,8350,Adv Topics in Rep,16,16,8,8,0,0,0,0,0,0,0
214,ARCH,8567,Site/Water Sustainable Design,30,32,24,6,0,0,0,0,0,0,2
215,ARTH,1004W,Introduction to Asian Art,61,68,23,16,9,0,10,0,1,2,7
216,ARTH,1912,Truth and Lies,18,18,15,3,0,0,0,0,0,0,0
217,ARTH,1921W,Intro to Film Study,53,63,18,26,5,0,2,0,0,2,10
218,ARTH,3009,Medieval Art,25,26,16,5,1,0,3,0,0,0,1
219,ARTH,3013,East Asian Art,18,19,13,4,0,0,0,0,0,1,1
220,ARTH,3182,"Art & Arch Egypt, Western Asia",33,35,13,16,3,0,0,0,0,1,2
221,ARTH,3335,Baroque Rome,21,22,10,6,2,1,0,0,0,2,1
222,ARTH,3464,Art Since 1945,31,31,15,12,2,0,2,0,0,0,0
223,ARTH,3577,Photography in America,45,47,21,19,2,0,3,0,0,0,2
224,ARTH,3929,Cinema Now,32,35,11,19,0,0,1,0,0,1,3
